,location,district,rooms,size,level,max_levels,price
81,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20.0,3,9,14500
110,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20.0,3,3,12500
473,"город Ташкент, Яккасарайский район, 1-й проезд Имама ат-Термези",Яккасарайский,1,20.0,2,4,14500
739,"город Ташкент, Мирзо-Улугбекский район, Мирзо-Улугбекский район массив Феруза-2",Мирзо-Улугбекский,1,16.0,1,4,18000
745,"город Ташкент, Мирзо-Улугбекский район, хирот 2 тор",Мирзо-Улугбекский,1,16.0,1,4,18000
796,"город Ташкент, Яккасарайский район, 1-й проезд Андижон",Яккасарайский,2,5.0,1,4,50000
975,"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,1,18.0,3,4,12500
1041,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,1,18.0,3,3,17500
1234,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,20.0,2,5,19000
1241,"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,1,17.0,5,9,12000
1434,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,1,20.0,3,5,16000
1588,"город Ташкент, Янгихаётский район, Yangi hayot dostlik2",Янгихаётский,5,1.0,6,9,45000
2147,"город Ташкент, Учтепинский район, Куксарой",Учтепинский,8,8.5,2,2,230000
2166,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,1,18.0,4,4,12000
2285,"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,1,18.0,4,4,12000
2349,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,1,19.0,4,4,20500
2363,"город Ташкент, Мирабадский район, Nurli zamin kochasi",Мирабадский,4,3.0,1,1,50000
2650,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,1,18.0,2,4,14000
2652,"город Ташкент, Яшнободский район, Мухтара Ашрафи",Яшнободский,1,20.0,2,4,12498
2653,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,1,17.0,2,4,17000
2654,"город Ташкент, Яшнободский район, Мухтара Ашрафи",Яшнободский,1,14.0,1,1,10600
2655,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,1,20.0,2,4,14000
2658,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,18.0,3,4,12300
2659,"город Ташкент, Яшнободский район, Мухтара Ашрафи",Яшнободский,1,18.0,3,4,12500
3087,"город Ташкент, Яшнободский район, Машиносозлар",Яшнободский,1,18.0,2,4,11000
3635,"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ",Мирзо-Улугбекский,1,18.0,4,4,10000
3865,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,1,20.0,3,4,12100
4053,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,2,4.0,1,3,26000
4337,"город Ташкент, Мирабадский район, Нукус",Мирабадский,3,5.0,4,5,46600
4356,"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,1,18.0,4,4,12300
4365,"город Ташкент, Яшнободский район, Корасув (Лисунова) ",Яшнободский,1,18.0,3,4,11500
4578,"город Ташкент, Яшнободский район, Асалабад-2",Яшнободский,1,20.0,2,4,15500
4656,"город Ташкент, Мирзо-Улугбекский район, Академгородок",Мирзо-Улугбекский,1,17.0,3,4,17500
4690,"город Ташкент, Мирабадский район, 1-й проезд Хушнуд",Мирабадский,5,3.8,2,2,90000
4810,"город Ташкент, Яшнободский район, Асалабад-2",Яшнободский,1,20.0,2,4,15500
4984,"город Ташкент, Яшнободский район, Дилбог",Яшнободский,1,20.0,2,4,14000
4989,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,1,20.0,4,4,13500
5158,"город Ташкент, Сергелийский район, Сергелийский район массив Сергели-I",Сергелийский,1,18.0,2,4,13500
5176,"город Ташкент, Юнусабадский район, 1-й проезд Бадамзор",Юнусабадский,1,18.0,1,4,12500
5496,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,2,1.0,2,5,35000
5811,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,1,16.7,3,4,27000
5883,"город Ташкент, Яшнободский район, Рисовый",Яшнободский,1,20.0,3,4,12800
6045,"город Ташкент, Чиланзарский район, Чиланзар 3-й квартал",Чиланзарский,1,15.0,3,4,12000
6055,"город Ташкент, Мирзо-Улугбекский район, Улица Буюк ипак йули",Мирзо-Улугбекский,1,18.0,6,9,10500
6338,"город Ташкент, Чиланзарский район, Сугалли-ота",Чиланзарский,1,20.0,3,9,14500
6873,"город Ташкент, Мирзо-Улугбекский район, Mag'rur ulitsa",Мирзо-Улугбекский,1,20.0,1,4,17500
7031,"город Ташкент, Яшнободский район, Городок Авиастроителей 3-й квартал",Яшнободский,1,18.0,1,4,10500
7407,"город Ташкент, Яшнободский район, Тузель 3-й квартал",Яшнободский,3,15.0,7,9,50000
7474,"город Ташкент, Мирабадский район, Фидоийлар",Мирабадский,1,18.0,1,4,10500
7505,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,1,18.0,3,4,16000
7522,"город Ташкент, Чиланзарский район, проспект Бунёдкор",Чиланзарский,1,20.0,5,5,18500
7563,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,1,18.0,1,4,11000
